# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20251001
# End date: 20251231
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Referral,20251028,4417,4407,52,1.0247333787156796,0.011772696400271678,3.105513955071477,0.011799410029498525,13686,8,0.0018152938506920807,2777
Referral,20251029,2139,2163,82,3.578363384188627,0.0383356708742403,3.2977346278317152,0.03791030975496995,7133,14,0.004160887656033287,5712.78
Referral,20251030,2003,2022,58,3.1172106824925816,0.02895656515227159,3.2314540059347183,0.028684470820969338,6534,9,0.0034619188921859545,2404.93
Referral,20251208,1945,1972,47,1.4705882352941178,0.02416452442159383,3.1627789046653145,0.02383367139959432,6237,6,0.002535496957403651,1834.27
Referral,20251027,1757,1793,103,5.1399888455103175,0.058622652248150255,3.471834913552705,0.05744562186279978,6225,16,0.008923591745677636,5174.8
Direct,20251001,1352,1469,712,45.23893805309734,0.5266272189349113,6.788972089857046,0.4846834581347856,9973,42,0.02722940776038121,12064.1
Referral,20251001,1252,1271,61,4.645161290322581,0.048722044728434506,3.5011801730920533,0.04799370574350905,4450,4,0.003147128245476003,4857.77
Direct,20251008,1240,1360,735,43.946323529411764,0.592741935483871,7.228676470588235,0.5404411764705882,9831,30,0.020588235294117647,7748.57
Direct,20251010,1236,1370,687,43.4,0.5558252427184466,7.122627737226277,0.5014598540145986,9758,36,0.022627737226277374,9784.88
Property WiFi    ,20251003,1224,1331,206,5.986476333583772,0.16830065359477125,3.190082644628099,0.15477084898572502,4246,0,0,0
Direct,20251009,1219,1339,732,46.964899178491414,0.6004922067268252,7.244958924570575,0.5466766243465273,9701,38,0.027632561613144136,13035.68
Property WiFi    ,20251010,1210,1320,166,4.774242424242424,0.1371900826446281,3.143939393939394,0.12575757575757576,4150,0,0,0
Referral,20251007,1186,1216,59,5.7055921052631575,0.049747048903878585,3.4490131578947367,0.04851973684210526,4194,7,0.004111842105263158,2121.15
Referral,20251002,1185,1207,58,2.888152444076222,0.048945147679324896,3.3347141673570837,0.048053024026512015,4025,7,0.00579950289975145,1538.17
Referral,20251006,1178,1208,58,4.322847682119205,0.04923599320882852,3.4619205298013247,0.048013245033112585,4182,9,0.005794701986754967,1625.99
Property WiFi    ,20251004,1176,1257,131,4.118536197295147,0.11139455782312925,3.1344470962609385,0.10421638822593476,3940,0,0,0
Property WiFi    ,20251011,1165,1257,150,4.607796340493238,0.12875536480686695,3.203659506762132,0.11933174224343675,4027,1,0.0007955449482895784,119.95
Direct,20251028,1160,1260,526,41.392857142857146,0.453448275862069,7.003968253968254,0.4174603174603175,8825,33,0.020634920634920634,7601.98
Referral,20251004,1154,1168,44,2.5128424657534247,0.038128249566724434,3.247431506849315,0.03767123287671233,3793,2,0.0017123287671232876,596
Direct,20251004,1142,1242,587,39.306763285024154,0.5140105078809106,6.586956521739131,0.4726247987117552,8181,23,0.018518518518518517,5634.06
Referral,20251020,1141,1178,61,4.195246179966044,0.05346187554776512,3.359083191850594,0.05178268251273345,3957,10,0.008488964346349746,3233.84
Referral,20251013,1136,1154,62,5.89948006932409,0.05457746478873239,3.4280762564991334,0.053726169844020795,3956,6,0.0008665511265164644,615
Unassigned,20251008,1136,1248,186,17.181089743589745,0.1637323943661972,3.7251602564102564,0.14903846153846154,4649,5,0.004006410256410256,664.74
Direct,20251023,1130,1234,689,52.88735818476499,0.6097345132743363,8.216369529983792,0.5583468395461912,10139,47,0.03646677471636953,10935.06
Direct,20251006,1118,1261,688,52.922283901665345,0.6153846153846154,8.162569389373513,0.5455987311657414,10293,55,0.035685963521015066,14257.21
Direct,20251017,1118,1229,626,46.58340113913751,0.5599284436493739,7.286411716842962,0.5093572009764036,8955,33,0.023596419853539462,12016.77
Referral,20251010,1115,1136,64,6.330105633802817,0.05739910313901345,3.4788732394366195,0.056338028169014086,3952,4,0.002640845070422535,956.9
Referral,20251023,1115,1143,65,6.732283464566929,0.05829596412556054,3.4864391951006124,0.0568678915135608,3985,12,0.010498687664041995,3004.49
Property WiFi    ,20251017,1113,1229,149,4.825061025223759,0.13387241689128482,3.164361269324654,0.12123677786818551,3889,0,0,0
Referral,20251009,1107,1127,65,6.14019520851819,0.05871725383920506,3.535936113575865,0.05767524401064774,3985,4,0.00354924578527063,1229.42
Referral,20251021,1106,1130,57,5.872566371681416,0.051537070524412296,3.454867256637168,0.050442477876106194,3904,5,0.004424778761061947,1289.39
Referral,20251005,1104,1120,31,2.2223214285714286,0.028079710144927536,3.1651785714285716,0.027678571428571427,3545,3,0.0026785714285714286,721.62
Referral,20251008,1102,1130,41,3.0035398230088495,0.03720508166969147,3.295575221238938,0.036283185840707964,3724,4,0.002654867256637168,1376.69
Direct,20251007,1101,1221,601,42.3972153972154,0.5458673932788374,6.683046683046683,0.49221949221949224,8160,35,0.027846027846027847,9480.58
Direct,20251002,1095,1219,648,45.26086956521739,0.5917808219178082,7.293683347005742,0.5315832649712879,8891,29,0.022149302707136997,6576.42
Referral,20251014,1094,1115,56,4.589237668161435,0.051188299817184646,3.3443946188340807,0.05022421524663677,3729,3,0.0026905829596412557,666.14
Referral,20251022,1094,1122,84,8.482174688057041,0.07678244972577697,3.6336898395721926,0.0748663101604278,4077,9,0.0071301247771836,14974.75
Direct,20251003,1090,1205,616,42.94356846473029,0.5651376146788991,7.164315352697096,0.5112033195020746,8633,33,0.026556016597510373,12816.24
