# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20250401
# End date: 20250630
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Property WiFi    ,20250620,2134,2293,186,2.794156127344091,0.08716026241799438,3.069341474051461,0.08111644134321849,7038,0,0,0
Referral,20250417,2044,2065,65,2.1186440677966103,0.031800391389432484,3.215980629539952,0.031476997578692496,6641,4,0.0014527845036319612,621.35
Property WiFi    ,20250619,2022,2178,191,2.8980716253443526,0.09446092977250248,3.0633608815426996,0.0876951331496786,6672,0,0,0
Property WiFi    ,20250613,2000,2158,204,2.836886005560704,0.102,3.0940685820203893,0.09453197405004633,6677,0,0,0
Property WiFi    ,20250621,1996,2132,201,3.654315196998124,0.10070140280561123,3.104596622889306,0.09427767354596622,6619,0,0,0
Property WiFi    ,20250628,1988,2174,205,3.7129714811407544,0.10311871227364185,3.0680772769089235,0.09429622815087396,6670,0,0,0
Property WiFi    ,20250516,1967,2120,194,3.2306603773584905,0.09862735129639044,3.07688679245283,0.09150943396226414,6523,0,0,0
Property WiFi    ,20250517,1962,2109,191,3.7970602181128497,0.09734964322120285,3.0929350403034612,0.0905642484589853,6523,0,0,0
Property WiFi    ,20250627,1944,2149,186,3.6779897626803164,0.09567901234567901,3.070730572359237,0.08655188459748721,6599,0,0,0
Property WiFi    ,20250524,1936,2040,163,3.0455882352941175,0.08419421487603305,3.1088235294117648,0.07990196078431372,6342,0,0,0
Property WiFi    ,20250624,1918,2077,209,31.25036109773712,0.10896767466110532,3.1145883485796824,0.1006259027443428,6469,0,0,0
Property WiFi    ,20250625,1909,2117,215,4.054322153991498,0.11262441068622316,3.088332546055739,0.10155880963627775,6538,0,0,0
Property WiFi    ,20250612,1905,2129,204,3.6406763738844528,0.10708661417322834,3.0535462658525128,0.09581963363081258,6501,0,0,0
Property WiFi    ,20250611,1902,2137,221,3.3069723912026205,0.11619348054679285,3.0556855404773047,0.10341600374356574,6530,5,0.0004679457182966776,520
Property WiFi    ,20250515,1878,2057,200,3.349538162372387,0.10649627263045794,3.1025765678172097,0.09722897423432182,6382,0,0,0
Property WiFi    ,20250623,1874,2091,206,3.736967957914873,0.10992529348986126,3.1099952175992347,0.09851745576279292,6503,0,0,0
Property WiFi    ,20250614,1865,2017,179,2.8096182449181955,0.09597855227882038,3.0788299454635597,0.0887456618740704,6210,0,0,0
Property WiFi    ,20250411,1861,1987,193,4.332159033719175,0.10370768404083826,3.1006542526421743,0.09713135379969803,6161,0,0,0
Property WiFi    ,20250607,1845,1981,175,3.172640080767289,0.0948509485094851,3.099444724886421,0.08833922261484099,6140,0,0,0
Property WiFi    ,20250610,1840,2046,226,4.46969696969697,0.12282608695652174,3.0913978494623655,0.1104594330400782,6325,0,0,0
Property WiFi    ,20250618,1837,2007,176,3.5944195316392626,0.09580838323353294,3.0632785251619334,0.08769307424015944,6148,1,0.0004982561036372695,225
